Time,NAT counts,Tunnels,CPU,%usr,%sys,%idle,Flow_count,Handoffq_ drops,Total,Used,Free,Shared,Buffer,Cached
9:10:10 AM,,,6,35.63,41.38,14.94,,45090672.0,,,,,,
9:10:10 AM,,,7,21.52,46.84,18.99,,45090672.0,,,,,,
9:10:11 AM,,,all,37.48,37.05,15.02,,,,,,,,
9:10:11 AM,,,0,46.81,38.3,8.51,,,,,,,,
9:10:11 AM,,,1,54.46,29.7,0,,,,,,,,
9:10:11 AM,,,2,28.74,36.78,22.99,,,,,,,,
9:10:11 AM,,,3,31.82,38.64,19.32,,,,,,,,
9:10:11 AM,,,4,28.75,36.25,21.25,,,,,,,,
9:10:11 AM,,,5,44.05,32.14,15.48,,,,,,,,
9:10:11 AM,,,6,28.24,42.35,20,,,,,,,,
9:10:11 AM,,,7,32.5,43.75,16.25,,,,,,,,
9:10:12 AM,,,all,41.2,35.75,12.99,,,,,,,,
9:10:12 AM,,,0,34.44,44.44,10,,,,,,,,
9:10:12 AM,,,1,50.98,24.51,0,,,,,,,,
9:10:12 AM,,,2,45.65,33.7,15.22,,,,,,,,
9:10:12 AM,,,3,42.7,33.71,17.98,,,,,,,,
9:10:12 AM,,,4,38.37,38.37,17.44,,,,,,,,
9:10:12 AM,,,5,42.53,31.03,18.39,,,,,,,,
9:10:12 AM,,,6,26.19,44.05,17.86,,,,,,,,
9:10:12 AM,,,7,46.51,38.37,9.3,,,,,,,,
9:10:13 AM,,,all,36.4,30.76,22.29,,,,,,,,
9:10:13 AM,,,0,42.7,37.08,13.48,,,,,,,,
9:10:13 AM,,,1,52.04,21.43,8.16,,,,,,,,
9:10:13 AM,,,2,58.7,17.39,20.65,,,,,,,,
9:10:13 AM,,,3,29.11,31.65,32.91,,,,,,,,
9:10:13 AM,,,4,24.68,31.17,28.57,,,,,,,,
9:10:13 AM,,,5,26.92,33.33,30.77,,,,,,,,
9:10:13 AM,,,6,19.23,39.74,26.92,,,,,,,,
9:10:13 AM,,,7,29.27,37.8,21.95,,,,,,,,
9:10:14 AM,,,all,34.33,35.05,18.74,,,,,,,,
9:10:14 AM,,,0,29.41,44.71,14.12,,,,,,,,
9:10:14 AM,,,1,50,20,5,,,,,,,,
9:10:14 AM,,,2,35.63,33.33,21.84,,,,,,,,
9:10:14 AM,,,3,59.57,29.79,9.57,,,,,,,,
9:10:14 AM,,,4,22.62,39.29,28.57,,,,,,,,
9:10:14 AM,,,5,25.88,31.76,32.94,,,,,,,,
9:10:14 AM,,,6,21.25,38.75,25,,,,,,,,
9:10:14 AM,,,7,23.81,46.43,16.67,,,,,,,,
9:10:15 AM,,,all,37.77,35.31,14.04,,,,,,,,
9:10:15 AM,,,0,28.24,47.06,14.12,,,,,,,,
9:10:15 AM,,,1,58,22,0,,,,,,,,
