Date,Flow_count,Handoffq_drops,,,,,,,,
3:51:20 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:51:21 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:51:21 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:51:21 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:51:22 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:51:22 AM,65778,718801,,,,,,,,
  , ,,,,,,,,,
3:51:23 AM,65779,718801,,,,,,,,
  , ,,,,,,,,,
3:51:23 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:23 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:23 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:23 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:51:24 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:51:24 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:51:25 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:51:25 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:51:26 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:51:26 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:51:27 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:51:27 AM,65782,718801,,,,,,,,
  , ,,,,,,,,,
3:51:28 AM,65784,718801,,,,,,,,
  , ,,,,,,,,,
3:51:28 AM,65785,718801,,,,,,,,
  , ,,,,,,,,,
3:51:28 AM,65785,718801,,,,,,,,
  , ,,,,,,,,,
3:51:28 AM,65787,718801,,,,,,,,
  , ,,,,,,,,,
3:51:28 AM,65787,718801,,,,,,,,
  , ,,,,,,,,,
3:51:29 AM,65787,718801,,,,,,,,
  , ,,,,,,,,,
3:51:29 AM,65788,718801,,,,,,,,
  , ,,,,,,,,,
3:51:30 AM,65789,718801,,,,,,,,
  , ,,,,,,,,,
3:51:30 AM,65789,718801,,,,,,,,
  , ,,,,,,,,,
3:51:31 AM,65790,718801,,,,,,,,
  , ,,,,,,,,,
3:51:31 AM,65790,718801,,,,,,,,
  , ,,,,,,,,,
3:51:32 AM,65790,718801,,,,,,,,
  , ,,,,,,,,,
3:51:32 AM,65790,718801,,,,,,,,
  , ,,,,,,,,,
3:51:33 AM,65790,718801,,,,,,,,
  , ,,,,,,,,,
3:51:33 AM,65792,718801,,,,,,,,
  , ,,,,,,,,,
3:51:33 AM,65792,718801,,,,,,,,
  , ,,,,,,,,,
3:51:34 AM,65792,718801,,,,,,,,
  , ,,,,,,,,,
3:51:35 AM,65770,718801,,,,,,,,
  , ,,,,,,,,,
3:51:35 AM,65770,718801,,,,,,,,
  , ,,,,,,,,,
3:51:36 AM,65770,718801,,,,,,,,
  , ,,,,,,,,,
3:51:36 AM,65770,718801,,,,,,,,
  , ,,,,,,,,,
3:51:36 AM,65770,718801,,,,,,,,
  , ,,,,,,,,,
3:51:37 AM,65770,718801,,,,,,,,
  , ,,,,,,,,,
3:51:37 AM,65770,718801,,,,,,,,
  , ,,,,,,,,,
3:51:38 AM,65773,718801,,,,,,,,
  , ,,,,,,,,,
3:51:39 AM,65773,718801,,,,,,,,
  , ,,,,,,,,,
3:51:40 AM,65773,718801,,,,,,,,
  , ,,,,,,,,,
3:51:40 AM,65773,718801,,,,,,,,
  , ,,,,,,,,,
3:51:40 AM,65773,718801,,,,,,,,
  , ,,,,,,,,,
3:51:41 AM,65773,718801,,,,,,,,
  , ,,,,,,,,,
3:51:42 AM,65773,718801,,,,,,,,
  , ,,,,,,,,,
3:51:43 AM,65774,718801,,,,,,,,
  , ,,,,,,,,,
3:51:43 AM,65776,718801,,,,,,,,
  , ,,,,,,,,,
3:51:43 AM,65776,718801,,,,,,,,
  , ,,,,,,,,,
3:51:43 AM,65776,718801,,,,,,,,
  , ,,,,,,,,,
3:51:44 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:51:45 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:51:45 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:51:45 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:51:45 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:51:46 AM,65777,718801,,,,,,,,
  , ,,,,,,,,,
3:51:47 AM,65779,718801,,,,,,,,
  , ,,,,,,,,,
3:51:48 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:48 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:49 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:49 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:49 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
3:51:50 AM,65780,718801,,,,,,,,
  , ,,,,,,,,,
